dataset,method,split,traintest,coverage,width,rmse
naval-propulsion-plant,linear_regression,2,train,0.938640596,1.554777346,0.005822733
naval-propulsion-plant,linear_regression,3,test,0.936295054,1.552465532,0.005991046
naval-propulsion-plant,linear_regression,3,train,0.938826816,1.552409526,0.005820278
naval-propulsion-plant,linear_regression,4,test,0.928751048,1.552960912,0.005923983
naval-propulsion-plant,linear_regression,4,train,0.938454376,1.552976527,0.00583036
naval-propulsion-plant,linear_regression,5,test,0.947191953,1.559072644,0.005668596
naval-propulsion-plant,linear_regression,5,train,0.939199255,1.559072719,0.005852578
naval-propulsion-plant,linear_regression,6,test,0.917015926,1.547517326,0.00608248
naval-propulsion-plant,linear_regression,6,train,0.939944134,1.54753816,0.005805934
naval-propulsion-plant,linear_regression,7,test,0.92372171,1.547846966,0.006106296
naval-propulsion-plant,linear_regression,7,train,0.940037244,1.547798546,0.005806819
naval-propulsion-plant,linear_regression,8,test,0.941324392,1.55491248,0.005878359
naval-propulsion-plant,linear_regression,8,train,0.938361266,1.554963611,0.005835053
naval-propulsion-plant,linear_regression,9,test,0.938809723,1.558728699,0.005816915
naval-propulsion-plant,linear_regression,9,train,0.939106145,1.558777348,0.005836903
naval-propulsion-plant,linear_regression,10,test,0.933724832,1.549938773,0.006022951
naval-propulsion-plant,linear_regression,10,train,0.937342892,1.549948252,0.005813961
naval-propulsion-plant,linear_regression,11,test,0.94295302,1.558384083,0.005872214
naval-propulsion-plant,linear_regression,11,train,0.93873941,1.558405255,0.005825387
naval-propulsion-plant,linear_regression,12,test,0.940436242,1.558627333,0.005804333
naval-propulsion-plant,linear_regression,12,train,0.939670422,1.55864951,0.005836132
naval-propulsion-plant,linear_regression,13,test,0.956412406,1.558279085,0.005787874
naval-propulsion-plant,linear_regression,13,train,0.937057728,1.558282177,0.005842093
naval-propulsion-plant,linear_regression,14,test,0.93210394,1.551989056,0.005921577
naval-propulsion-plant,linear_regression,14,train,0.939385475,1.551981675,0.005827692
naval-propulsion-plant,linear_regression,15,test,0.927912825,1.549481242,0.006007303
naval-propulsion-plant,linear_regression,15,train,0.938454376,1.549466985,0.005813136
naval-propulsion-plant,linear_regression,16,test,0.935456832,1.554281924,0.005894736
naval-propulsion-plant,linear_regression,16,train,0.939292365,1.554308064,0.005825589
naval-propulsion-plant,linear_regression,17,test,0.948868399,1.556425814,0.005676049
naval-propulsion-plant,linear_regression,17,train,0.939385475,1.556434901,0.005850025
naval-propulsion-plant,linear_regression,18,test,0.95473596,1.565188139,0.005570878
naval-propulsion-plant,linear_regression,18,train,0.938733706,1.565181421,0.005865563
naval-propulsion-plant,linear_regression,19,test,0.932942163,1.555901062,0.005897502
naval-propulsion-plant,linear_regression,19,train,0.938175047,1.555931267,0.005826272
power-plant,linear_regression,0,test,0.97492163,1.052386167,4.349792377
power-plant,linear_regression,0,train,0.964111498,1.05238998,4.580258861
power-plant,linear_regression,1,test,0.965517241,1.051542648,4.444848127
power-plant,linear_regression,1,train,0.965272938,1.051546246,4.573508698
power-plant,linear_regression,2,test,0.970741902,1.049540706,4.498597527
power-plant,linear_regression,2,train,0.964808362,1.049540636,4.567225815
power-plant,linear_regression,3,test,0.967607106,1.042309547,4.771795066
power-plant,linear_regression,3,train,0.963646922,1.042312652,4.532724894
power-plant,linear_regression,4,test,0.959247649,1.048696554,4.582353617
power-plant,linear_regression,4,train,0.965389082,1.048696139,4.557734627
power-plant,linear_regression,5,test,0.966562173,1.051584231,4.505064692
power-plant,linear_regression,5,train,0.964576074,1.051589849,4.57088588
power-plant,linear_regression,6,test,0.962382445,1.048809183,4.476143634
power-plant,linear_regression,6,train,0.964924506,1.048813916,4.569987273
power-plant,linear_regression,7,test,0.971786834,1.050103854,4.426022164
