,dropout,dropout_nofirst,ensemble,ll_dropout,ll_svi,svi,temp_scaling,vanilla
corrupt-static-frost-5,0.11267865,0.18361878,0.09572909,0.30252242,0.2808506,0.19190978,0.18289845,0.30094856
corrupt-static-gaussian_blur-1,0.010227522,0.0033804108,0.01667776,0.054100122,0.045432426,0.017754141,0.0037775026,0.046731297
corrupt-static-gaussian_blur-2,0.009524718,0.01856409,0.015919285,0.10250218,0.09256196,0.042951882,0.01838944,0.09125256
corrupt-static-gaussian_blur-3,0.048279367,0.066794775,0.016290888,0.17317566,0.16100518,0.08543739,0.06485115,0.16213807
corrupt-static-gaussian_blur-4,0.105455115,0.13514335,0.06822402,0.25771993,0.24559474,0.13873878,0.1357958,0.2513202
corrupt-static-gaussian_blur-5,0.22309864,0.26935774,0.20859094,0.41956753,0.38610274,0.24485758,0.2636922,0.3972392
corrupt-static-gaussian_noise-1,0.013755116,0.07078109,0.03865686,0.15868688,0.18361229,0.09766458,0.08291721,0.17233111
corrupt-static-gaussian_noise-2,0.09612976,0.24843365,0.21767315,0.32150656,0.36220568,0.23872381,0.22001618,0.33281523
corrupt-static-gaussian_noise-3,0.22527122,0.46289253,0.3788126,0.4978379,0.511248,0.3837962,0.34832883,0.47044903
corrupt-static-gaussian_noise-4,0.29610077,0.5480112,0.42917508,0.57032275,0.55785906,0.4448911,0.3890615,0.51457906
corrupt-static-gaussian_noise-5,0.35434306,0.6108487,0.45452794,0.6246721,0.59732103,0.49467286,0.41746837,0.54520375
corrupt-static-glass_blur-1,0.17184749,0.28456247,0.120926544,0.4019954,0.35611647,0.27290696,0.25217542,0.37846065
corrupt-static-glass_blur-2,0.1499033,0.259823,0.114964716,0.38172552,0.34397343,0.24727222,0.23777945,0.36247614
corrupt-static-glass_blur-3,0.10050376,0.20769471,0.1107309,0.33987212,0.3178238,0.20867953,0.20913346,0.33008677
