dataset,method,split,traintest,coverage,width,rmse
bostonHousing,ll_svi,6,trainval,0.986010989010989,1.397010505515916,2.695928489360444
bostonHousing,ll_svi,6,test,0.9995098039215686,1.2592601238634888,1.9615632058973378
bostonHousing,ll_svi,7,trainval,0.9932857142857143,1.0380654897839352,1.8858834342685773
bostonHousing,ll_svi,7,test,0.8590196078431372,0.891730078419998,4.308644430462436
bostonHousing,ll_svi,8,trainval,0.995912087912088,1.119533358276463,1.9060699429864938
bostonHousing,ll_svi,8,test,0.8924509803921569,1.120439347544857,2.994304941057486
bostonHousing,ll_svi,9,trainval,0.992043956043956,1.1634384355294762,2.256224146111973
bostonHousing,ll_svi,9,test,0.9100980392156863,1.212364015952333,4.575903220890647
bostonHousing,ll_svi,10,trainval,0.9949450549450549,1.0576078713489883,1.8922637220405265
bostonHousing,ll_svi,10,test,0.8937254901960784,1.1128132075621782,3.567542098461864
bostonHousing,ll_svi,11,trainval,0.9777252747252747,1.2299464575636643,2.484943501277868
bostonHousing,ll_svi,11,test,0.9598039215686275,1.1424191136086974,2.50507775984545
bostonHousing,ll_svi,12,trainval,0.994934065934066,1.112959545255656,1.8993792733992392
bostonHousing,ll_svi,12,test,0.9451960784313725,0.9935503257784912,2.4113644140477644
bostonHousing,ll_svi,13,trainval,0.990043956043956,1.1156336617429596,2.0491268740763626
bostonHousing,ll_svi,13,test,0.8905882352941177,1.163573159136578,3.970845274776029
bostonHousing,ll_svi,14,trainval,0.9857362637362638,1.1788911170165557,2.228562228698877
bostonHousing,ll_svi,14,test,0.9153921568627451,1.1456748378497459,2.7030716689882204
bostonHousing,ll_svi,15,trainval,0.9939670329670329,1.103513943137452,1.9052607580794751
bostonHousing,ll_svi,15,test,0.9766666666666667,1.1611429620860234,2.4826455490289567
bostonHousing,ll_svi,16,trainval,0.9628131868131868,1.3308823167180663,2.7790650185314476
bostonHousing,ll_svi,16,test,0.9434313725490197,1.3632501908506498,3.425746483006656
bostonHousing,ll_svi,17,trainval,0.9871098901098901,1.12894315926866,2.4372838570050925
bostonHousing,ll_svi,17,test,0.941764705882353,1.0766590137684442,3.1101486009280706
bostonHousing,ll_svi,18,trainval,0.991010989010989,1.186481985741516,2.1594345703353524
bostonHousing,ll_svi,18,test,0.9468627450980392,1.142241238070425,2.7245802412920055
bostonHousing,ll_svi,19,trainval,0.9894285714285714,1.1603910991068076,1.9630965899896307
bostonHousing,ll_svi,19,test,0.9536274509803921,1.2042449034382257,5.384081928739101
concrete,svi,0,trainval,0.9786677454153182,1.5522438152315574,6.021007290938353
