dataset,method,split,traintest,coverage,width,rmse
bostonHousing,dropout,12,trainval,0.48131868131868133,0.6816939181449623,3.7973206
bostonHousing,dropout,12,test,0.5294117647058824,0.6479451310886121,4.4398527
bostonHousing,dropout,13,trainval,0.5274725274725275,0.7442445213296277,4.631271
bostonHousing,dropout,13,test,0.49019607843137253,0.782494622341458,4.385345
bostonHousing,dropout,14,trainval,0.6967032967032967,0.7881051035163166,3.4891016
bostonHousing,dropout,14,test,0.6862745098039216,0.7493166264805085,3.5708618
bostonHousing,dropout,15,trainval,0.6923076923076923,0.8453042433921181,4.050184
bostonHousing,dropout,15,test,0.7058823529411765,0.9804769489399798,4.855683
bostonHousing,dropout,16,trainval,0.5296703296703297,0.5788765893214141,3.820846
bostonHousing,dropout,16,test,0.49019607843137253,0.5040932856965091,4.102023
bostonHousing,dropout,17,trainval,0.4945054945054945,0.540486273991987,3.9228427
bostonHousing,dropout,17,test,0.4117647058823529,0.5143038809522086,3.7993734
bostonHousing,dropout,18,trainval,0.6,0.5987380277955198,3.557749
bostonHousing,dropout,18,test,0.5686274509803921,0.6220314070117361,3.8031027
bostonHousing,dropout,19,trainval,0.6835164835164835,0.871023310245206,3.9972682
bostonHousing,dropout,19,test,0.7254901960784313,0.9498288797178914,4.9344106
bostonHousing,ll_dropout,0,trainval,0.06373626373626373,0.04357145816749422,2.5444572
bostonHousing,ll_dropout,0,test,0.0196078431372549,0.012151513398136592,2.5165129
bostonHousing,ll_dropout,1,trainval,0.23956043956043957,0.1836606552112831,2.4391437
bostonHousing,ll_dropout,1,test,0.21568627450980393,0.1536222584817206,3.1854613
bostonHousing,ll_dropout,2,trainval,0.17142857142857143,0.14665478006289956,2.8438125
bostonHousing,ll_dropout,2,test,0.09803921568627451,0.15235921541317568,3.1145742
bostonHousing,ll_dropout,3,trainval,0.33406593406593404,0.21435061005950526,2.59151
bostonHousing,ll_dropout,3,test,0.29411764705882354,0.22470523688352712,2.7912922
bostonHousing,ll_dropout,4,trainval,0.015384615384615385,0.021967250676934114,2.6716268
bostonHousing,ll_dropout,4,test,0.0,0.022188316541934486,4.530945
bostonHousing,ll_dropout,5,trainval,0.24395604395604395,0.19676860606122568,2.4561634
bostonHousing,ll_dropout,5,test,0.27450980392156865,0.1899818494493898,2.3559616
bostonHousing,ll_dropout,6,trainval,0.22417582417582418,0.3431592985690106,3.553554
bostonHousing,ll_dropout,6,test,0.2549019607843137,0.2635939328053453,3.164645
bostonHousing,ll_dropout,7,trainval,0.3010989010989011,0.19496923126562382,2.581087
bostonHousing,ll_dropout,7,test,0.29411764705882354,0.16515223098642826,3.5705326
bostonHousing,ll_dropout,8,trainval,0.2945054945054945,0.18890585213514116,2.858336
bostonHousing,ll_dropout,8,test,0.23529411764705882,0.20721898787682372,3.9698358
bostonHousing,ll_dropout,9,trainval,0.3252747252747253,0.3533934527176182,2.6717494
bostonHousing,ll_dropout,9,test,0.3333333333333333,0.3824692001612229,6.0158224
bostonHousing,ll_dropout,10,trainval,0.23076923076923078,0.173745999412656,2.346379
bostonHousing,ll_dropout,10,test,0.17647058823529413,0.1910466757721896,3.1073227
bostonHousing,ll_dropout,11,trainval,0.013186813186813187,0.016260256544637232,2.3572743
bostonHousing,ll_dropout,11,test,0.0,0.0008858036111120298,4.3342953
