,dropout,dropout_nofirst,ensemble,ll_dropout,ll_svi,svi,temp_scaling,vanilla
corrupt-static-gaussian_noise-4,0.824397012591362,1.20588119328022,1.067740112543106,1.2228548675775528,1.2346921861171722,1.049336977303028,1.015590973166514,1.1558532565832138
corrupt-static-gaussian_noise-5,0.9251324683427811,1.3077938854694366,1.115570917725563,1.3223654925823212,1.304166465997696,1.1347991973161697,1.0668287442404953,1.2154187113046646
corrupt-static-glass_blur-1,0.6087947189807892,0.81076779961586,0.6749830842018127,0.9242112338542938,0.8811335936188698,0.7615180909633636,0.8011109504428975,0.9101054221391678
corrupt-static-glass_blur-2,0.5744169652462006,0.7678748965263367,0.6526366472244263,0.8867616802453995,0.8537609875202179,0.7205366492271423,0.7755698718817718,0.879609726369381
corrupt-static-glass_blur-3,0.4934893846511841,0.680273026227951,0.6160885989665985,0.8047289699316025,0.7954293936491013,0.6454617083072662,0.7165330507486544,0.8110664784908295
corrupt-static-glass_blur-4,0.7795021086931229,0.9372379630804062,0.7749339491128922,1.0482549592852592,0.998968560132198,0.9049821868538857,0.9062433405746669,1.034326709806919
corrupt-static-glass_blur-5,0.7077623307704926,0.8712675422430038,0.7521340847015381,1.0022142315283418,0.9549458250403404,0.8393689393997192,0.8517633993269842,0.9691097103059292
corrupt-static-impulse_noise-1,0.21825510263442993,0.2665788531303406,0.2603304982185364,0.3089451789855957,0.3548170328140259,0.26366692781448364,0.3299438754616765,0.3601239323616028
corrupt-static-impulse_noise-2,0.3202260732650757,0.43616974353790283,0.42005258798599243,0.48172444105148315,0.5540525019168854,0.39896345138549805,0.5167648784150088,0.5736372172832489
corrupt-static-impulse_noise-3,0.4222005605697632,0.6031768321990967,0.5390031337738037,0.6622247993946075,0.7033591270446777,0.5652322769165039,0.6517245307825426,0.730957955121994
corrupt-static-impulse_noise-4,0.610772579908371,0.9174321591854095,0.7303262054920197,1.0217210613191128,0.9627823084592819,0.8875303044915199,0.8308864025656637,0.9418095052242279
corrupt-static-impulse_noise-5,0.7493611574172974,1.1179566383361816,0.8741666227579117,1.271069347858429,1.1554958820343018,1.1135282516479492,0.9496061111898946,1.0869459360837936
corrupt-static-pixelate-1,0.16215872764587402,0.16047990322113037,0.1325560212135315,0.20569169521331787,0.19719958305358887,0.20000112056732178,0.18008343663940296,0.19285911321640015
corrupt-static-pixelate-2,0.20490002632141113,0.21567517518997192,0.2036915421485901,0.29310810565948486,0.29243576526641846,0.27136117219924927,0.2589896339797,0.2804322838783264
corrupt-static-pixelate-3,0.24110758304595947,0.2670241594314575,0.2706531882286072,0.3641369938850403,0.37664568424224854,0.3354315757751465,0.31989970052162087,0.35103780031204224
corrupt-static-pixelate-4,0.4201582670211792,0.4847557544708252,0.5299170017242432,0.6379337906837463,0.674959808588028,0.5691719949245453,0.5593378938717561,0.6272099614143372
corrupt-static-pixelate-5,0.7120793163776398,0.7981085926294327,0.8360099941492081,0.9500018060207367,0.9963144378270954,0.8540633916854858,0.8394064819561615,0.9469278156757355
corrupt-static-saturate-1,0.16836881637573242,0.1598471999168396,0.12934726476669312,0.19380944967269897,0.18323415517807007,0.19968169927597046,0.17500507217698758,0.18658161163330078
corrupt-static-saturate-2,0.19317054748535156,0.1863059401512146,0.15743601322174072,0.22389554977416992,0.21925079822540283,0.24135243892669678,0.20772512656085895,0.22258365154266357
corrupt-static-saturate-3,0.1479344367980957,0.14723539352416992,0.10637801885604858,0.1713656783103943,0.15641415119171143,0.17596548795700073,0.1476711724374753,0.1565800905227661
corrupt-static-saturate-4,0.1944063901901245,0.21474891901016235,0.14814329147338867,0.22724992036819458,0.20795482397079468,0.22020399570465088,0.1973817293121891,0.21126937866210938
corrupt-static-saturate-5,0.2683146595954895,0.3174389600753784,0.21852916479110718,0.3103945851325989,0.2893221974372864,0.2841721177101135,0.2774401328691488,0.3003101348876953
corrupt-static-shot_noise-1,0.1943284273147583,0.2470763921737671,0.2351580262184143,0.2916426658630371,0.33418357372283936,0.28238528966903687,0.29345046399412666,0.31894993782043457
corrupt-static-shot_noise-2,0.2836431860923767,0.4003375172615051,0.4007403254508972,0.44854509830474854,0.517259806394577,0.42382001876831055,0.44970543527626217,0.49748772382736206
corrupt-static-shot_noise-3,0.5423525869846344,0.8144170492887497,0.7787767052650452,0.8386359810829163,0.9167390316724777,0.7428075671195984,0.7609537951287049,0.8581680804491043
corrupt-static-shot_noise-4,0.652755081653595,0.9756910353899002,0.8906011432409286,0.9894155114889145,1.0444761700928211,0.8644785732030869,0.8569505191269224,0.9716934319585562
corrupt-static-shot_noise-5,0.8216596245765686,1.197712779045105,1.0216989889740944,1.202915534377098,1.1983529925346375,1.038446355611086,0.9678651561735689,1.1022933200001717
corrupt-static-spatter-1,0.1665095090866089,0.16748756170272827,0.13517850637435913,0.20491647720336914,0.19987517595291138,0.19339001178741455,0.1915392521687569,0.2059011459350586
