dataset,method,split,traintest,coverage,width,rmse
kin8nm,gp,17,test,0.979242979,2.365727535,0.132904733
kin8nm,gp,18,trainval,0.97219585,2.370141618,0.13476706
kin8nm,gp,18,test,0.954822955,2.369236194,0.142778298
kin8nm,gp,19,trainval,0.972874,2.368230413,0.133790744
kin8nm,gp,19,test,0.965811966,2.365466546,0.137289099
naval-propulsion-plant,gp,0,trainval,0.99925519,0.416911326,0.000811576
naval-propulsion-plant,gp,0,test,0.999161777,0.418637312,0.000817406
naval-propulsion-plant,gp,1,trainval,0.999720696,0.303856721,0.000585262
naval-propulsion-plant,gp,1,test,0.999161777,0.304477883,0.000585589
naval-propulsion-plant,gp,2,trainval,0.995996648,0.440514386,0.000989238
naval-propulsion-plant,gp,2,test,0.997485331,0.441151323,0.001026745
naval-propulsion-plant,gp,3,trainval,0.999720696,0.310658831,0.000537278
naval-propulsion-plant,gp,3,test,1,0.311580374,0.000516905
naval-propulsion-plant,gp,4,trainval,1,0.318748192,0.000494852
naval-propulsion-plant,gp,4,test,1,0.318857347,0.000506814
naval-propulsion-plant,gp,5,trainval,0.999348292,0.350572259,0.000672221
naval-propulsion-plant,gp,5,test,1,0.34860213,0.000635611
naval-propulsion-plant,gp,6,trainval,1,0.299451514,0.000503571
naval-propulsion-plant,gp,6,test,1,0.296807698,0.000512725
naval-propulsion-plant,gp,7,trainval,1,0.307242467,0.000453461
naval-propulsion-plant,gp,7,test,1,0.304370368,0.00044354
naval-propulsion-plant,gp,8,trainval,0.99925519,0.419579052,0.000816207
naval-propulsion-plant,gp,8,test,0.999161777,0.418892935,0.000813376
naval-propulsion-plant,gp,9,trainval,1,0.312143383,0.00049892
naval-propulsion-plant,gp,9,test,1,0.315068009,0.000503274
naval-propulsion-plant,gp,10,trainval,0.997579369,0.396575544,0.000814232
naval-propulsion-plant,gp,10,test,0.997485331,0.395688159,0.000851369
naval-propulsion-plant,gp,11,trainval,1,0.319561298,0.00051822
naval-propulsion-plant,gp,11,test,1,0.322197068,0.000543411
naval-propulsion-plant,gp,12,trainval,0.999162089,0.339380335,0.000700682
naval-propulsion-plant,gp,12,test,0.997485331,0.339194112,0.000730556
naval-propulsion-plant,gp,13,trainval,1,0.310153995,0.000497573
naval-propulsion-plant,gp,13,test,1,0.311638086,0.000505528
naval-propulsion-plant,gp,14,trainval,0.999441393,0.313678534,0.000585094
naval-propulsion-plant,gp,14,test,1,0.316539084,0.000571385
naval-propulsion-plant,gp,15,trainval,0.999534494,0.377655469,0.00066878
naval-propulsion-plant,gp,15,test,1,0.37845974,0.000667416
naval-propulsion-plant,gp,16,trainval,1,0.302616858,0.000479647
naval-propulsion-plant,gp,16,test,1,0.303936826,0.000495599
naval-propulsion-plant,gp,17,trainval,1,0.315709099,0.000538919
naval-propulsion-plant,gp,17,test,1,0.314404237,0.000535722
naval-propulsion-plant,gp,18,trainval,1,0.313780225,0.000528725
naval-propulsion-plant,gp,18,test,1,0.313071383,0.000544158
naval-propulsion-plant,gp,19,trainval,0.999162089,0.332170433,0.000684034
naval-propulsion-plant,gp,19,test,0.998323554,0.332685691,0.000702641
power-plant,gp,0,trainval,0.961328533,0.973479127,4.173891439
power-plant,gp,0,test,0.966562173,0.973693545,4.478229077
power-plant,gp,1,trainval,0.964347927,0.981899441,4.224481684
power-plant,gp,1,test,0.959247649,0.981617524,4.002343429
power-plant,gp,2,trainval,0.963070491,0.975050579,4.198036064
power-plant,gp,2,test,0.959247649,0.9747669,4.246254007
power-plant,gp,3,trainval,0.961793055,0.971578622,4.180983441
power-plant,gp,3,test,0.965517241,0.971526883,4.401090812
power-plant,gp,4,trainval,0.963651144,0.974039713,4.178534674
power-plant,gp,4,test,0.945663532,0.974114306,4.426316077
power-plant,gp,5,trainval,0.962489839,0.974909497,4.19188311
power-plant,gp,5,test,0.962382445,0.975006345,4.310264389
power-plant,gp,6,trainval,0.96283823,0.979982098,4.205757959
power-plant,gp,6,test,0.967607106,0.980035029,4.178347299
power-plant,gp,7,trainval,0.963070491,0.982856019,4.217891087
power-plant,gp,7,test,0.965517241,0.982680483,4.071176372
power-plant,gp,8,trainval,0.962025316,0.972767811,4.184148848
power-plant,gp,8,test,0.963427377,0.972287483,4.38221575
power-plant,gp,9,trainval,0.963535013,0.979378267,4.203832871
power-plant,gp,9,test,0.959247649,0.978840464,4.19886445
power-plant,gp,10,trainval,0.962605969,0.97924714,4.20835445
power-plant,gp,10,test,0.96969697,0.979024071,4.154698436
power-plant,gp,11,trainval,0.962605969,0.9693102,4.174282156
power-plant,gp,11,test,0.954022989,0.969034544,4.439042397
power-plant,gp,12,trainval,0.963535013,0.981899138,4.217421907
power-plant,gp,12,test,0.968652038,0.982336771,4.068471426
power-plant,gp,13,trainval,0.9627221,0.974636063,4.19005494
power-plant,gp,13,test,0.960292581,0.974387153,4.320283102
power-plant,gp,14,trainval,0.963418883,0.979883414,4.207120515
power-plant,gp,14,test,0.962382445,0.979706748,4.150305545
power-plant,gp,15,trainval,0.964580188,0.980789305,4.216374462
power-plant,gp,15,test,0.956112853,0.980451599,4.122952425
power-plant,gp,16,trainval,0.963070491,0.9818988,4.216476834
power-plant,gp,16,test,0.963427377,0.982213254,4.098057642
power-plant,gp,17,trainval,0.963767274,0.979298985,4.20415243
power-plant,gp,17,test,0.958202717,0.979283162,4.201658414
power-plant,gp,18,trainval,0.962605969,0.974988695,4.189869048
power-plant,gp,18,test,0.963427377,0.974772437,4.320638734
power-plant,gp,19,trainval,0.962025316,0.970340728,4.166772995
power-plant,gp,19,test,0.958202717,0.970135285,4.530745141
wine-quality-red,gp,0,trainval,0.950660181,3.177829165,0.630725277
wine-quality-red,gp,0,test,0.95,3.173161904,0.643254101
wine-quality-red,gp,1,trainval,0.950660181,3.146587449,0.63118064
wine-quality-red,gp,1,test,0.95625,3.15112522,0.638710586
wine-quality-red,gp,2,trainval,0.953439889,3.178598613,0.622153535
wine-quality-red,gp,2,test,0.9125,3.181755174,0.716922094
wine-quality-red,gp,3,trainval,0.952744962,3.156282404,0.632350182
wine-quality-red,gp,3,test,0.94375,3.154652122,0.627425627
wine-quality-red,gp,4,trainval,0.950660181,3.165351777,0.636888442
wine-quality-red,gp,4,test,0.96875,3.160284479,0.574316078
wine-quality-red,gp,5,trainval,0.953439889,3.152290205,0.630590976
wine-quality-red,gp,5,test,0.94375,3.152251863,0.644411765
wine-quality-red,gp,6,trainval,0.949965254,3.146586826,0.622323509
wine-quality-red,gp,6,test,0.925,3.14444255,0.709857526
wine-quality-red,gp,7,trainval,0.949965254,3.16051314,0.625643757
wine-quality-red,gp,7,test,0.94375,3.169365596,0.682488924
wine-quality-red,gp,8,trainval,0.9485754,3.163649375,0.634698125
wine-quality-red,gp,8,test,0.96875,3.16785572,0.617594057
wine-quality-red,gp,9,trainval,0.953439889,3.169187877,0.628902971
wine-quality-red,gp,9,test,0.925,3.17852413,0.667834918
wine-quality-red,gp,10,trainval,0.950660181,3.159516075,0.627645062
wine-quality-red,gp,10,test,0.94375,3.173342811,0.667232888
wine-quality-red,gp,11,trainval,0.949965254,3.132331708,0.629695737
wine-quality-red,gp,11,test,0.95,3.129276766,0.646615193
wine-quality-red,gp,12,trainval,0.954829743,3.147320823,0.629847675
wine-quality-red,gp,12,test,0.93125,3.146172569,0.662026265
wine-quality-red,gp,13,trainval,0.952744962,3.129508034,0.63020341
wine-quality-red,gp,13,test,0.94375,3.127298212,0.628190602
wine-quality-red,gp,14,trainval,0.949965254,3.180678739,0.631665127
wine-quality-red,gp,14,test,0.95625,3.19148895,0.629435626
wine-quality-red,gp,15,trainval,0.950660181,3.155916869,0.635890419
wine-quality-red,gp,15,test,0.95625,3.155315811,0.590306328
wine-quality-red,gp,16,trainval,0.951355108,3.186841648,0.633316828
wine-quality-red,gp,16,test,0.95625,3.183808066,0.618861325
wine-quality-red,gp,17,trainval,0.952050035,3.172977777,0.632070778
wine-quality-red,gp,17,test,0.95625,3.179593212,0.633874812
wine-quality-red,gp,18,trainval,0.950660181,3.153585992,0.6295678
wine-quality-red,gp,18,test,0.95,3.155023802,0.644466114
wine-quality-red,gp,19,trainval,0.950660181,3.177528073,0.634004165
wine-quality-red,gp,19,test,0.9625,3.18324754,0.6206589
yacht,gp,0,trainval,0.989169675,1.668814737,4.483623055
yacht,gp,0,test,0.967741935,1.676982136,4.561049378
yacht,gp,1,trainval,0.989169675,1.657333322,4.438987994
yacht,gp,1,test,0.935483871,1.685628681,4.881539119
yacht,gp,2,trainval,0.992779783,1.651018448,4.474728157
yacht,gp,2,test,1,1.659287245,4.160842486
yacht,gp,3,trainval,0.992779783,1.691500339,4.425098331
yacht,gp,3,test,0.935483871,1.743347232,5.52105917
yacht,gp,4,trainval,0.981949458,1.663476295,4.342694374
yacht,gp,4,test,0.935483871,1.682357155,5.816233697
yacht,gp,5,trainval,0.992779783,1.638570477,4.434302515
yacht,gp,5,test,1,1.720179709,4.278941282
yacht,gp,6,trainval,0.992779783,1.650007434,4.495140839
yacht,gp,6,test,1,1.659310806,4.24847991
yacht,gp,7,trainval,0.989169675,1.677092868,4.431158315
yacht,gp,7,test,0.967741935,1.718488141,5.54009002
yacht,gp,8,trainval,0.989169675,1.650538694,4.474238021
yacht,gp,8,test,1,1.691683271,4.202543578
yacht,gp,9,trainval,0.992779783,1.658922218,4.509507818
yacht,gp,9,test,1,1.655760869,2.945877873
yacht,gp,10,trainval,0.985559567,1.675698775,4.380209213
yacht,gp,10,test,0.935483871,1.694251072,5.752269878
yacht,gp,11,trainval,0.992779783,1.661210244,4.469983553
yacht,gp,11,test,1,1.651917084,4.91002191
yacht,gp,12,trainval,0.989169675,1.675699426,4.42370559
yacht,gp,12,test,0.967741935,1.659156476,5.019840107
yacht,gp,13,trainval,0.985559567,1.686630175,4.507531227
yacht,gp,13,test,1,1.707320198,4.518519509
yacht,gp,14,trainval,0.985559567,1.689055869,4.482617437
yacht,gp,14,test,0.967741935,1.693361167,5.176093163
yacht,gp,15,trainval,0.985559567,1.704980011,4.536000799
yacht,gp,15,test,1,1.720128357,3.394295227
yacht,gp,16,trainval,0.992779783,1.689693891,4.506738332
yacht,gp,16,test,0.967741935,1.783184345,4.252163417
yacht,gp,17,trainval,0.985559567,1.675573052,4.47814991
yacht,gp,17,test,0.967741935,1.72339314,4.590735638
yacht,gp,18,trainval,0.989169675,1.694038848,4.47315761
yacht,gp,18,test,1,1.729243349,4.696652395
yacht,gp,19,trainval,0.981949458,1.687315228,4.308935222
yacht,gp,19,test,0.903225806,1.69282201,6.701978881
protein-tertiary-structure,gp,0,trainval,0.960274072,3.208907828,4.908000335
protein-tertiary-structure,gp,0,test,0.960857205,3.209884672,4.98013157
protein-tertiary-structure,gp,1,trainval,0.960589936,3.206249575,4.901936123
protein-tertiary-structure,gp,1,test,0.958670457,3.207653622,4.973163529
protein-tertiary-structure,gp,2,trainval,0.961100177,3.20537576,4.899930645
protein-tertiary-structure,gp,2,test,0.958889132,3.204285539,4.940961732
protein-tertiary-structure,gp,3,trainval,0.961707607,3.223800148,4.961056392
protein-tertiary-structure,gp,3,test,0.958451782,3.224033816,4.984255389
protein-tertiary-structure,gp,4,trainval,0.960857205,3.216982386,4.927205649
protein-tertiary-structure,gp,4,test,0.958233107,3.215730166,4.968773883
